SKU	Section	2018-12 Units	2018-12 Gross Sales	2019-1 Units	2019-1 Gross Sales	2019-2 Units	2019-2 Gross Sales	2019-3 Units	2019-3 Gross Sales	2019-4 Units	2019-4 Gross Sales	2019-5 Units	2019-5 Gross Sales
1260610	Produce	253	1012	256	1024	264	1056	272	1088	269	1076	291	1164
1266828	Canned Goods	344	258	358	268.5	354	265.5	368	276	383	287.25	421	315.75
1268010	Produce	896	14112	896	14112	869	13686.75	852	13419	895	14096.25	940	14805
1301634	Produce	18	71.82	18	71.82	17	67.83	18	71.82	17	67.83	18	71.82
1318095	Refrigerated	172	3259.4	175	3316.25	173	3278.35	175	3316.25	177	3354.15	184	3486.8
1339176	Produce	676	10809.24	683	10921.17	669	10697.31	696	11129.04	682	10905.18	689	11017.11
1353962	Dairy	969	15019.5	1008	15624	1008	15624	1038	16089	1007	15608.5	997	15453.5
1354909	Produce	403	8060	415	8300	415	8300	415	8300	415	8300	436	8720
1362201	Sodas and Drinks	836	2466.2	869	2563.55	860	2537	869	2563.55	886	2613.7	948	2796.6
1371397	Refrigerated	606	4545	600	4500	624	4680	636	4770	623	4672.5	611	4582.5
1393300	Produce	440	5715.6	444	5767.56	435	5650.65	452	5871.48	438	5689.62	425	5520.75
1402988	Freezer	67	536	70	560	70	560	69	552	70	560	73	584
1405230	Baby	304	4180	295	4056.25	298	4097.5	292	4015	295	4056.25	316	4345
1443005	Freezer	832	3286.4	832	3286.4	857	3385.15	883	3487.85	865	3416.75	865	3416.75
1445238	Produce	273	4354.35	270	4306.5	270	4306.5	270	4306.5	275	4386.25	300	4785
1461287	Freezer	424	7610.8	428	7682.6	437	7844.15	424	7610.8	445	7987.75	490	8795.5
1462685	International	871	9572.29	906	9956.94	933	10253.67	924	10154.76	961	10561.39	1009	11088.91
1464420	Produce	14	164.5	14	164.5	15	176.25	15	176.25	15	176.25	15	176.25
1487498	Produce	490	8325.1	505	8579.95	510	8664.9	525	8919.75	546	9276.54	519	8817.81
1493993	Produce	138	1102.62	144	1150.56	151	1206.49	157	1254.43	157	1254.43	162	1294.38
1495122	Baby	508	2006.6	508	2006.6	518	2046.1	539	2129.05	550	2172.5	567	2239.65
1534029	Produce	334	6342.66	327	6209.73	343	6513.57	353	6703.47	349	6627.51	373	7083.27
1546680	Refrigerated	297	1185.03	294	1173.06	303	1208.97	303	1208.97	294	1173.06	315	1256.85
1546910	Dairy	467	7822.25	462	7738.5	480	8040	490	8207.5	475	7956.25	518	8676.5
1557712	International	197	394	197	394	191	382	191	382	197	394	187	374
1580194	Produce	1039	12468	1070	12840	1049	12588	1059	12708	1048	12576	1121	13452
1585547	Snacks	502	476.9	522	495.9	512	486.4	507	481.65	497	472.15	517	491.15
1597890	Baby	168	1006.32	166	994.34	166	994.34	169	1012.31	174	1042.26	183	1096.17
1602752	Canned Goods	656	3929.44	682	4085.18	668	4001.32	695	4163.05	695	4163.05	695	4163.05
1620182	Produce	196	3714.2	194	3676.3	194	3676.3	192	3638.4	188	3562.6	184	3486.8
1625156	Refrigerated	1013	14688.5	1043	15123.5	1043	15123.5	1033	14978.5	1002	14529	982	14239
1632993	Refrigerated	119	1428	118	1416	118	1416	114	1368	115	1380	120	1440
1633759	Produce	18	359.82	18	359.82	18	359.82	17	339.83	18	359.82	20	399.8
1639784	Produce	835	16691.65	860	17191.4	860	17191.4	877	17531.23	886	17711.14	877	17531.23
1642573	International	652	9095.4	665	9276.75	645	8997.75	651	9081.45	684	9541.8	698	9737.1
1647982	Produce	577	2302.23	583	2326.17	583	2326.17	571	2278.29	594	2370.06	600	2394
1662442	International	718	11480.82	711	11368.89	747	11944.53	732	11704.68	754	12056.46	777	12424.23
1675219	Produce	901	9000.99	946	9450.54	946	9450.54	955	9540.45	993	9920.07	973	9720.27
1678247	Produce	833	13286.35	808	12887.6	792	12632.4	816	13015.2	857	13669.15	926	14769.7
1683989	Produce	171	675.45	168	663.6	166	655.7	164	647.8	169	667.55	172	679.4
1748177	Snacks	195	193.05	203	200.97	213	210.87	215	212.85	221	218.79	236	233.64
1748600	Dairy	533	6369.35	544	6500.8	544	6500.8	544	6500.8	544	6500.8	544	6500.8
1750183	International	822	4726.5	830	4772.5	830	4772.5	838	4818.5	846	4864.5	914	5255.5
1752109	Freezer	588	1146.6	594	1158.3	612	1193.4	636	1240.2	649	1265.55	681	1327.95
1759467	Canned Goods	526	520.74	537	531.63	558	552.42	586	580.14	592	586.08	580	574.2
1760788	Produce	83	1157.85	85	1185.75	82	1143.9	81	1129.95	83	1157.85	85	1185.75
1782787	Snacks	526	3655.7	552	3836.4	546	3794.7	541	3759.95	563	3912.85	552	3836.4
1799617	Dairy	930	15763.5	958	16238.1	939	15916.05	967	16390.65	938	15899.1	910	15424.5
1809437	Canned Goods	5	9.75	5	9.75	5	9.75	5	9.75	5	9.75	5	9.75
1814724	Produce	370	1665	389	1750.5	408	1836	404	1818	404	1818	412	1854
1828816	Produce	396	7520.04	408	7747.92	416	7899.84	437	8298.63	450	8545.5	482	9153.18
1829805	Sodas and Drinks	779	10088.05	756	9790.2	794	10282.3	834	10800.3	817	10580.15	899	11642.05
1848659	Snacks	891	7083.45	927	7369.65	955	7592.25	1003	7973.85	1023	8132.85	1023	8132.85
1849092	Produce	690	3443.1	697	3478.03	732	3652.68	761	3797.39	776	3872.24	830	4141.7
1866920	Produce	217	1942.15	213	1906.35	222	1986.9	226	2022.7	221	1977.95	243	2174.85
1889590	Freezer	404	7267.96	392	7052.08	400	7196	392	7052.08	396	7124.04	432	7771.68
1896415	Freezer	635	1270	629	1258	635	1270	616	1232	634	1268	647	1294
1919757	Produce	447	5788.65	434	5620.3	438	5672.1	442	5723.9	451	5840.45	496	6423.2
1920202	Produce	219	2844.81	223	2896.77	216	2805.84	212	2753.88	223	2896.77	227	2948.73
1951352	Snacks	839	797.05	847	804.65	830	788.5	830	788.5	838	796.1	855	812.25
1970772	Refrigerated	604	6637.96	604	6637.96	634	6967.66	621	6824.79	627	6890.73	640	7033.6
1973052	Sodas and Drinks	418	2085.82	439	2190.61	461	2300.39	447	2230.53	451	2250.49	487	2430.13
1973097	International	334	5661.3	344	5830.8	358	6068.1	351	5949.45	344	5830.8	351	5949.45
1974868	Refrigerated	956	15296	975	15600	1014	16224	994	15904	1044	16704	1013	16208
1975792	Produce	441	8158.5	445	8232.5	436	8066	440	8140	431	7973.5	418	7733
1994555	Refrigerated	46	943	47	963.5	46	943	46	943	45	922.5	44	902
1994880	Produce	686	5481.14	672	5369.28	685	5473.15	678	5417.22	692	5529.08	664	5305.36
2003567	Baby	52	883.48	55	934.45	57	968.43	56	951.44	56	951.44	59	1002.41
2013567	International	612	12546	612	12546	600	12300	612	12546	618	12669	612	12546
2025633	Produce	966	6752.34	976	6822.24	1025	7164.75	1035	7234.65	1004	7017.96	954	6668.46
2040417	Produce	161	3059	164	3116	164	3116	161	3059	159	3021	156	2964
2043995	Produce	256	1789.44	253	1768.47	261	1824.39	271	1894.29	266	1859.34	277	1936.23
2044979	Dairy	167	1002	167	1002	164	984	167	1002	174	1044	191	1146
2045623	Sodas and Drinks	237	2832.15	230	2748.5	223	2664.85	232	2772.4	227	2712.65	216	2581.2
2050418	Dairy	97	460.75	99	470.25	102	484.5	99	470.25	97	460.75	92	437
2062533	International	298	6255.02	298	6255.02	301	6317.99	313	6569.87	329	6905.71	362	7598.38
2102052	International	6	96	6	96	6	96	6	96	6	96	6	96
2109732	Baby	872	12199.28	907	12688.93	916	12814.84	889	12437.11	898	12563.02	943	13192.57
2111413	Freezer	925	925	971	971	990	990	1040	1040	1030	1030	1071	1071
2112791	Snacks	888	15087.12	897	15240.03	888	15087.12	897	15240.03	906	15392.94	942	16004.58
2117503	Refrigerated	981	3433.5	971	3398.5	942	3297	989	3461.5	1009	3531.5	1070	3745
2127135	Baby	764	13752	764	13752	787	14166	811	14598	827	14886	893	16074
2147377	Snacks	521	4162.79	521	4162.79	516	4122.84	516	4122.84	521	4162.79	573	4578.27
2150184	International	1020	7140	1071	7497	1050	7350	1040	7280	1071	7497	1157	8099
2157657	Canned Goods	1020	10189.8	1061	10599.39	1029	10279.71	1070	10689.3	1113	11118.87	1057	10559.43
2163016	Dairy	769	13065.31	807	13710.93	791	13439.09	823	13982.77	864	14679.36	950	16140.5
2183049	Produce	89	1335	88	1320	92	1380	97	1455	101	1515	96	1440
2183121	Produce	602	11438	608	11552	632	12008	638	12122	657	12483	650	12350
2183199	Produce	457	5936.43	471	6118.29	457	5936.43	466	6053.34	475	6170.25	489	6352.11
2189794	Produce	3	47.97			3	47.97	3	47.97	3	47.97	3	47.97
2202130	Snacks	313	6181.75	329	6497.75	326	6438.5	336	6636	339	6695.25	336	6636
2209050	Produce	869	11288.31	860	11171.4	903	11729.97	930	12080.7	911	11833.89	865	11236.35
2225164	International	628	4396	609	4263	621	4347	646	4522	652	4564	665	4655
2236404	Dairy	764	573	772	579	787	590.25	771	578.25	779	584.25	763	572.25
2241315	Produce	796	15880.2	804	16039.8	828	16518.6	869	17336.55	895	17855.25	904	18034.8
2274363	Refrigerated	713	9261.87	713	9261.87	720	9352.8	706	9170.94	720	9352.8	706	9170.94
2279238	Produce	266	3189.34	266	3189.34	261	3129.39	266	3189.34	263	3153.37	255	3057.45
2281302	International	434	4335.66	438	4375.62	451	4505.49	474	4735.26	469	4685.31	516	5154.84
2295994	Refrigerated	620	10533.8	639	10856.61	620	10533.8	645	10958.55	639	10856.61	626	10635.74
2297775	Dairy	933	1856.67	924	1838.76	970	1930.3	951	1892.49	922	1834.78	996	1982.04
2315284	Snacks	858	11583	892	12042	865	11677.5	882	11907	856	11556	924	12474
2316021	Snacks	259	2069.41	272	2173.28	286	2285.14	283	2261.17	286	2285.14	289	2309.11
2327302	Sodas and Drinks	172	3094.28	170	3058.3	177	3184.23	179	3220.21	177	3184.23	179	3220.21
2327794	Produce	898	6286	943	6601	952	6664	923	6461	932	6524	979	6853
2334269	Dairy	132	2374.68	139	2500.61	136	2446.64	141	2536.59	145	2608.55	160	2878.4
2337212	International	72	1367.28	76	1443.24	74	1405.26	75	1424.25	76	1443.24	75	1424.25
2337423	Canned Goods	474	7105.26	483	7240.17	478	7165.22	473	7090.27	473	7090.27	520	7794.8
2348152	Produce	951	8511.45	999	8941.05	1029	9209.55	1019	9120.05	1060	9487	1018	9111.1
2366978	Produce	404	7979	396	7821	416	8216	404	7979	424	8374	466	9203.5
2371650	Sodas and Drinks	319	4143.81	335	4351.65	348	4520.52	348	4520.52	338	4390.62	365	4741.35
2409760	Sodas and Drinks	161	2574.39	166	2654.34	161	2574.39	164	2622.36	164	2622.36	177	2830.23
2413347	Refrigerated	33	230.67	33	230.67	33	230.67	33	230.67	34	237.66	36	251.64
2422747	Sodas and Drinks	864	10152	864	10152	881	10351.75	907	10657.25	925	10868.75	897	10539.75
2440046	Refrigerated	546	3270.54	568	3402.32	574	3438.26	591	3540.09	621	3719.79	671	4019.29
2450333	Canned Goods	292	2333.08	292	2333.08	283	2261.17	289	2309.11	292	2333.08	310	2476.9
2469090	Sodas and Drinks	561	5604.39	561	5604.39	550	5494.5	578	5774.22	595	5944.05	583	5824.17
2478520	Dairy	237	4263.63	230	4137.7	225	4047.75	223	4011.77	227	4083.73	247	4443.53
2496729	Dairy	174	3130.26	169	3040.31	167	3004.33	169	3040.31	174	3130.26	177	3184.23
2498222	Snacks	398	3562.1	410	3669.5	402	3597.9	418	3741.1	426	3812.7	469	4197.55
2512305	Produce	902	10598.5	947	11127.25	919	10798.25	947	11127.25	966	11350.5	1053	12372.75
2512732	Produce	232	3477.68	225	3372.75	218	3267.82	211	3162.89	213	3192.87	230	3447.7
2513311	Sodas and Drinks	413	7743.75	401	7518.75	393	7368.75	409	7668.75	405	7593.75	397	7443.75
2513675	Produce	1007	19133	1047	19893	1068	20292	1036	19684	1026	19494	1118	21242
2518533	Freezer	203	3349.5	213	3514.5	213	3514.5	209	3448.5	205	3382.5	213	3514.5
2524298	Sodas and Drinks	801	10404.99	777	10093.23	808	10495.92	800	10392	776	10080.24	823	10690.77
2533775	Baby	832	10400	840	10500	857	10712.5	891	11137.5	900	11250	855	10687.5
2548124	Snacks	363	4352.37	363	4352.37	367	4400.33	371	4448.29	390	4676.1	406	4867.94
2548570	Dairy	86	602	88	616	92	644	96	672	94	658	91	637
2551102	Produce	351	7020	369	7380	387	7740	387	7740	406	8120	422	8440
2557832	Snacks	204	1629.96	204	1629.96	204	1629.96	212	1693.88	206	1645.94	206	1645.94
2558392	Snacks	602	9030	608	9120	596	8940	626	9390	639	9585	690	10350
2559291	Sodas and Drinks	564	6175.8	558	6110.1	547	5989.65	569	6230.55	569	6230.55	580	6351
2574302	Freezer	207	3301.65	201	3205.95	211	3365.45	222	3540.9	224	3572.8	220	3509
2581928	Freezer	485	8240.15	504	8562.96	519	8817.81	509	8647.91	514	8732.86	493	8376.07
2582115	Canned Goods	500	8500	515	8755	515	8755	520	8840	510	8670	515	8755
2588260	Freezer	812	12171.88	804	12051.96	820	12291.8	845	12666.55	887	13296.13	852	12771.48
2592612	Freezer	714	2134.86	707	2113.93	686	2051.14	693	2072.07	679	2030.21	720	2152.8
2594379	Snacks	748	10464.52	763	10674.37	771	10786.29	810	11331.9	810	11331.9	802	11219.98
2596747	Freezer	752	6008.48	782	6248.18	805	6431.95	829	6623.71	812	6487.88	796	6360.04
2597448	International	594	3861	600	3900	594	3861	576	3744	593	3854.5	623	4049.5
2617577	Freezer	434	1731.66	438	1747.62	456	1819.44	479	1911.21	493	1967.07	508	2026.92
2623689	Dairy	814	8131.86	838	8371.62	830	8291.7	838	8371.62	838	8371.62	888	8871.12
2624251	Refrigerated	292	219	286	214.5	286	214.5	292	219	292	219	310	232.5
2633905	Produce	981	17608.95	981	17608.95	992	17806.4	1011	18147.45	991	17788.45	971	17429.45
2639077	Dairy	332	1311.4	342	1350.9	359	1418.05	363	1433.85	363	1433.85	367	1449.65
2661243	Canned Goods	99	197.01	96	191.04	101	200.99	100	199	104	206.96	100	199
2663558	Sodas and Drinks	778	6994.22	794	7138.06	834	7497.66	867	7794.33	850	7641.5	850	7641.5
2681502	Produce	72	1007.28	76	1063.24	74	1035.26	73	1021.27	72	1007.28	71	993.29
2701785	Canned Goods	612	8874	643	9323.5	675	9787.5	709	10280.5	744	10788	751	10889.5
2702099	Baby	289	1719.55	289	1719.55	298	1773.1	298	1773.1	313	1862.35	304	1808.8
2716363	Refrigerated	667	6663.33	687	6863.13	701	7002.99	729	7282.71	707	7062.93	742	7412.58
2744438	Canned Goods	34	467.5	34	467.5	34	467.5	33	453.75	33	453.75	33	453.75
2749763	Produce	452	6775.48	475	7120.25	466	6985.34	471	7060.29	476	7135.24	462	6925.38
2755920	Produce	417	412.83	434	429.66	456	451.44	465	460.35	451	446.49	469	464.31
2778927	Refrigerated	504	252	494	247	489	244.5	484	242	474	237	465	232.5
2783488	Snacks	220	1757.8	229	1829.71	229	1829.71	236	1885.64	238	1901.62	259	2069.41
2785702	Canned Goods	138	2477.1	144	2584.8	144	2584.8	147	2638.65	147	2638.65	141	2530.95
2786231	Baby	201	402	199	398	201	402	207	414	207	414	226	452
2795111	Baby	672	12062.4	652	11703.4	659	11829.05	659	11829.05	652	11703.4	659	11829.05
2795677	Produce	942	2816.58	923	2759.77	969	2897.31	959	2867.41	969	2897.31	950	2840.5
2801951	Snacks	592	1746.4	616	1817.2	628	1852.6	622	1834.9	610	1799.5	616	1817.2
2818647	Baby	128	254.72	132	262.68	136	270.64	143	284.57	147	292.53	154	306.46
2819301	Produce	822	9033.78	863	9484.37	872	9583.28	907	9967.93	889	9770.11	916	10066.84
2824504	Freezer	960	10550.4	931	10231.69	978	10748.22	1007	11066.93	997	10957.03	957	10517.43
2830334	Produce	74	740	77	770	79	790	80	800	82	820	81	810
2843874	Sodas and Drinks	392	1564.08	384	1532.16	396	1580.04	396	1580.04	384	1532.16	396	1580.04
2845857	Dairy	221	994.5	232	1044	244	1098	246	1107	244	1098	232	1044
2849105	Sodas and Drinks	446	1338	468	1404	477	1431	482	1446	482	1446	496	1488
2852349	Baby	644	3703	644	3703	650	3737.5	676	3887	676	3887	676	3887
2861841	International	82	327.18	84	335.16	88	351.12	88	351.12	86	343.14	85	339.15
2877842	Produce	681	6803.19	715	7142.85	751	7502.49	766	7652.34	774	7732.26	836	8351.64
2890848	Produce	48	815.52	48	815.52	48	815.52	50	849.5	50	849.5	48	815.52
2906955	Produce	303	3257.25	315	3386.25	324	3483	327	3515.25	334	3590.5	334	3590.5
2910709	Refrigerated	434	7790.3	425	7628.75	442	7933.9	455	8167.25	446	8005.7	433	7772.35
2920323	Snacks	255	762.45	247	738.53	249	744.51	244	729.56	239	714.61	249	744.51
2933646	Baby	478	1429.22	464	1387.36	469	1402.31	464	1387.36	459	1372.41	500	1495
2953288	Freezer	57	797.43	57	797.43	56	783.44	55	769.45	57	797.43	60	839.4
3008388	Baby	568	568	557	557	551	551	540	540	529	529	582	582
3009959	Snacks	999	4985.01	969	4835.31	940	4690.6	978	4880.22	1007	5024.93	1047	5224.53
3021763	Produce	466	927.34	457	909.43	475	945.25	461	917.39	466	927.34	489	973.11
3034662	Canned Goods	258	193.5	263	197.25	258	193.5	253	189.75	256	192	259	194.25
3057728	Produce	969	13323.75	940	12925	912	12540	939	12911.25	967	13296.25	1064	14630
3065699	Sodas and Drinks	121	240.79	117	232.83	118	234.82	119	236.81	118	234.82	124	246.76
3085976	Produce	795	15065.25	787	14913.65	826	15652.7	801	15178.95	841	15936.95	807	15292.65
3088595	Produce	214	2247	212	2226	214	2247	220	2310	220	2310	242	2541
3104682	Produce	212	2491	206	2420.5	206	2420.5	204	2397	204	2397	212	2491
3106591	Freezer	133	2520.35	132	2501.4	131	2482.45	131	2482.45	136	2577.2	132	2501.4
3124000	Produce	840	3150	882	3307.5	908	3405	953	3573.75	924	3465	942	3532.5
3129206	Produce	58	173.42	57	170.43	56	167.44	56	167.44	59	176.41	59	176.41
3130851	Produce	858	10287.42	841	10083.59	816	9783.84	857	10275.43	866	10383.34	823	9867.77
3132136	International	269	5108.31	282	5355.18	282	5355.18	285	5412.15	285	5412.15	279	5298.21
3138853	Sodas and Drinks	440	8690	444	8769	448	8848	439	8670.25	439	8670.25	430	8492.5
3140621	Produce	700	5593	714	5704.86	721	5760.79	750	5992.5	765	6112.35	734	5864.66
3148200	Refrigerated	555	6654.45	555	6654.45	566	6786.34	572	6858.28	589	7062.11	589	7062.11
3154627	Produce	944	18832.8	916	18274.2	889	17735.55	925	18453.75	897	17895.15	978	19511.1
3154811	Canned Goods	909	8135.55	927	8296.65	936	8377.2	917	8207.15	917	8207.15	945	8457.75
3158861	Sodas and Drinks	956	12428	946	12298	984	12792	1023	13299	1054	13702	1001	13013
3168247	Baby	460	1375.4	465	1390.35	484	1447.16	489	1462.11	509	1521.91	514	1536.86
3169655	Sodas and Drinks	520	5194.8	546	5454.54	541	5404.59	557	5564.43	568	5674.32	625	6243.75
3171506	Produce	395	8275.25	407	8526.65	411	8610.45	399	8359.05	391	8191.45	391	8191.45
3218107	Canned Goods	840	5871.6	848	5927.52	840	5871.6	815	5696.85	799	5585.01	815	5696.85
3222195	Produce	640	10080	659	10379.25	685	10788.75	692	10899	720	11340	770	12127.5
3229985	Freezer	175	1137.5	177	1150.5	173	1124.5	173	1124.5	178	1157	183	1189.5
3240432	Produce	228	2850	228	2850	226	2825	226	2825	235	2937.5	240	3000
3263570	Produce	270	1755	265	1722.5	260	1690	270	1755	273	1774.5	268	1742
3287237	Dairy	277	4141.15	277	4141.15	277	4141.15	280	4186	288	4305.6	314	4694.3
3287645	Canned Goods	888	12387.6	932	13001.4	923	12875.85	923	12875.85	951	13266.45	999	13936.05
3316158	Baby	607	7132.25	613	7202.75	607	7132.25	601	7061.75	601	7061.75	661	7766.75
3316183	Produce	614	2916.5	626	2973.5	632	3002	645	3063.75	645	3063.75	671	3187.25
3339397	International	579	1708.05	567	1672.65	595	1755.25	589	1737.55	601	1772.95	619	1826.05
3345821	Produce	904	18974.96	940	19730.6	940	19730.6	940	19730.6	940	19730.6	1015	21304.85
3352536	Baby	425	212.5	421	210.5	429	214.5	438	219	442	221	460	230
3357534	Snacks	416	4368	437	4588.5	441	4630.5	459	4819.5	473	4966.5	459	4819.5
3370247	Snacks	213	3780.75	209	3709.75	219	3887.25	226	4011.5	221	3922.75	243	4313.25
3391829	Dairy	911	17299.89	929	17641.71	966	18344.34	947	17983.53	994	18876.06	1054	20015.46
3406484	International	382	7636.18	371	7416.29	386	7716.14	390	7796.1	382	7636.18	386	7716.14
3416466	Baby	245	2447.55	247	2467.53	252	2517.48	247	2467.53	254	2537.46	264	2637.36
3440328	Sodas and Drinks	797	2351.15	789	2327.55	821	2421.95	805	2374.75	821	2421.95	895	2640.25
3441642	Dairy	311	2472.45	311	2472.45	311	2472.45	327	2599.65	317	2520.15	339	2695.05
3472073	International	821	15557.95	837	15861.15	870	16486.5	870	16486.5	914	17320.3	960	18192
3472436	Produce	322	5148.78	335	5356.65	348	5564.52	351	5612.49	355	5676.45	376	6012.24
3480956	Refrigerated	679	6104.21	693	6230.07	700	6293	686	6167.14	700	6293	728	6544.72
3495149	Produce	374	2805	381	2857.5	396	2970	404	3030	404	3030	420	3150
3495905	Produce	407	2442	395	2370	383	2298	391	2346	407	2442	444	2664
3507561	Refrigerated	934	8359.3	943	8439.85	943	8439.85	943	8439.85	971	8690.45	981	8779.95
3515100	Freezer	463	458.37	472	467.28	486	481.14	486	481.14	476	471.24	486	481.14
3517177	Baby	947	1846.65	966	1883.7	966	1883.7	985	1920.75	965	1881.75	936	1825.2
3517707	Refrigerated	811	16211.89	819	16371.81	827	16531.73	827	16531.73	827	16531.73	901	18010.99
3517872	Produce	851	11701.25	885	12168.75	903	12416.25	939	12911.25	920	12650	1003	13791.25
3545476	Produce	39	427.05	39	427.05	39	427.05	38	416.1	40	438	40	438
3563868	Freezer	1004	4005.96	1034	4125.66	1013	4041.87	1003	4001.97	973	3882.27	954	3806.46
3564261	Refrigerated	296	3833.2	299	3872.05	296	3833.2	305	3949.75	317	4105.15	349	4519.55
3566289	Freezer	597	5940.15	591	5880.45	603	5999.85	603	5999.85	627	6238.65	614	6109.3
3573581	Freezer	900	3150	873	3055.5	899	3146.5	944	3304	953	3335.5	934	3269
3591322	Baby	291	509.25	294	514.5	309	540.75	303	530.25	300	525	297	519.75
3593889	Snacks	28	490	27	472.5	28	490	27	472.5	26	455	28	490
3593942	Produce	61	350.75	63	362.25	65	373.75	66	379.5	65	373.75	67	385.25
3597520	Sodas and Drinks	842	14271.9	834	14136.3	809	13712.55	825	13983.75	858	14543.1	841	14254.95
3603815	Freezer	106	1372.7	108	1398.6	109	1411.55	107	1385.65	112	1450.4	111	1437.45
3616829	Refrigerated	927	2734.65	927	2734.65	908	2678.6	908	2678.6	944	2784.8	1001	2952.95
3624042	Canned Goods	706	9142.7	741	9595.95	771	9984.45	794	10282.3	810	10489.5	859	11124.05
3627013	Produce	281	278.19	287	284.13	293	290.07	290	287.1	305	301.95	311	307.89
3627628	Produce	969	2897.31	979	2927.21	969	2897.31	969	2897.31	979	2927.21	1038	3103.62
3635215	Sodas and Drinks	290	4277.5	302	4454.5	293	4321.75	293	4321.75	308	4543	323	4764.25
3654824	Sodas and Drinks	731	10226.69	760	10632.4	790	11052.1	806	11275.94	838	11723.62	880	12311.2
3669337	Produce	135	2558.25	142	2690.9	141	2671.95	138	2615.1	135	2558.25	146	2766.7
3690997	Produce	963	6731.37	953	6661.47	963	6731.37	1011	7066.89	1062	7423.38	1030	7199.7
3712435	International	89	1156.11	92	1195.08	94	1221.06	95	1234.05	99	1286.01	108	1402.92
3714581	International	423	2961	431	3017	431	3017	440	3080	440	3080	475	3325
3722512	Baby	141	415.95	138	407.1	141	415.95	148	436.6	152	448.4	160	472
3726263	Produce	644	2569.56	625	2493.75	625	2493.75	650	2593.5	683	2725.17	690	2753.1
3729850	Freezer	8	127.92	8	127.92	8	127.92	8	127.92	8	127.92	8	127.92
3733892	Sodas and Drinks	658	651.42	684	677.16	718	710.82	718	710.82	747	739.53	732	724.68
3734776	Canned Goods	568	4828	562	4777	573	4870.5	567	4819.5	578	4913	549	4666.5
